database,table,column,expected_uri,prediction_confidence
cinema,film,Film_ID,schema:Movie,Draft_Auto_Optimized
cinema,film,Rank_in_series,schema:episodeNumber,Draft_Auto_Optimized
cinema,film,Number_in_season,schema:episodeNumber,Draft_Auto_Optimized
cinema,film,Title,schema:name,Draft_Auto_Optimized
cinema,film,Directed_by,schema:director,Draft_Auto_Optimized
cinema,film,Original_air_date,schema:datePublished,Draft_Auto_Optimized
cinema,film,Production_code,schema:identifier,Draft_Auto_Optimized
cinema,cinema,Cinema_ID,,Draft_Auto_Optimized
cinema,cinema,Name,schema:name,Draft_Auto_Optimized
cinema,cinema,Openning_year,schema:yearBuilt,Draft_Auto_Optimized
cinema,cinema,Capacity,schema:seatingCapacity,Draft_Auto_Optimized
cinema,cinema,Location,schema:location,Draft_Auto_Optimized
cinema,schedule,Cinema_ID,schema:location,Draft_Auto_Optimized
cinema,schedule,Film_ID,schema:workPresented,Draft_Auto_Optimized
cinema,schedule,Date,schema:startDate,Draft_Auto_Optimized
cinema,schedule,Show_times_per_day,schema:openingHoursSpecification,Draft_Auto_Optimized
cinema,schedule,Price,schema:offers,Draft_Auto_Optimized
